participant,age,gender,academic_status,prof_exp_years,acc_not1,acc_not2,acc_not3,acc_not4,res_not1,res_not2,res_not3,res_not4
1,25,male,phd,4,0,1,0,1,8144,100,3646,1858
2,19,other,junior,0,1,1,1,1,9035,2892,1859,3019
3,26,female,phd,2,1,0,1,0,11249,806,3596,975
4,31,male,phd,4,1,1,1,1,11318,8297,3740,4118
5,28,male,phd,5+,1,1,1,1,10368,6205,6866,5472
6,27,female,master,3,0,0,1,0,3885,3432,8881,1766
7,28,male,master,5+,0,1,1,1,6583,5558,3623,1952
8,27,male,professional,5+,1,1,1,0,13926,2442,4313,3285
9,26,male,professional,0,0,1,1,1,1128,3215,4528,5057
10,20,female,senior,0,0,1,1,1,4526,6800,2494,2332
11,27,male,master,2,1,0,1,0,11552,9188,8553,8743
12,27,male,master,3,0,0,1,0,1031,489,726,474
13,28,male,phd,0,1,1,1,1,14200,8295,6271,9272
14,23,male,master,1,1,0,0,0,18662,2271,3054,1723
15,29,male,freshman,4,1,1,1,1,8926,3937,2452,2995
16,26,male,master,2,1,1,1,1,35174,12568,15534,9938
17,21,male,freshman,2,1,1,1,1,17628,23491,5781,12094
18,25,male,master,2,1,1,1,1,14494,10631,4384,4144
19,22,male,senior,2,1,1,1,1,21850,12600,11670,14605
20,27,female,master,0,0,1,1,1,38554,7412,16537,29169
21,30,male,phd,5+,1,1,1,1,6365,3282,3516,5623
22,26,male,master,4,0,1,1,1,10536,15062,4645,7295
23,25,male,phd,4,1,1,0,1,6710,8895,4430,7233
24,26,male,freshman,1,1,1,1,1,5545,8568,8637,4456
