participant,age,gender,academic_status,prof_exp_years,acc_or1,acc_or2,acc_or3,res_or1,res_or2,res_or3
1,25,male,phd,4,1,1,1,8796,4186,12980
2,19,other,junior,0,1,1,1,6373,2303,5695
3,26,female,phd,2,1,1,1,11861,11376,14869
4,31,male,phd,4,1,1,1,8756,11336,6651
5,28,male,phd,5+,1,1,1,15601,9391,29359
6,27,female,master,3,1,1,1,32649,21810,17490
7,28,male,master,5+,0,1,1,6554,12342,4316
8,27,male,professional,5+,1,1,0,11930,9669,12001
9,26,male,professional,0,1,1,1,11464,5576,20216
10,20,female,senior,0,1,1,1,10325,5559,7826
11,27,male,master,2,1,1,1,23432,10782,8854
12,27,male,master,3,1,1,0,12796,5968,1603
13,28,male,phd,0,1,1,1,11312,11823,23958
14,23,male,master,1,1,1,0,1688,4586,3140
15,29,male,freshman,4,1,1,1,7377,2996,8810
16,26,male,master,2,1,1,1,57601,28578,14413
17,21,male,freshman,2,0,1,1,37914,7098,4668
18,25,male,master,2,1,1,1,13433,8735,24281
19,22,male,senior,2,1,1,1,21399,5650,13661
20,27,female,master,0,1,1,1,27553,7086,17389
21,30,male,phd,5+,1,1,1,57038,10877,5584
22,26,male,master,4,1,1,1,5515,7521,3982
23,25,male,phd,4,0,1,1,10839,7456,10142
24,26,male,freshman,1,0,1,0,178,8301,6069
